,rating,reviews,extracted_price,asin,title,link_clean,thumbnail,delivery,scrape_date,display_size,ram,disk_size,operating_system
10,4.2,80.0,269.99,B0DY1ZSZGQ,"Lenovo V15 Business Laptop, 2026 Edition, Intel Core, 15.6 inch FHD, 128GB SSD, Ethernet Port RJ-45, Long Battery Life, Windows 11 with Office 365 for The Web",https://www.amazon.com/Lenovo-V15-Business-Processor-Ethernet/dp/B0DY1ZSZGQ/,https://m.media-amazon.com/images/I/61gKEWHC9DL._AC_UY218_.jpg,FREE delivery,2026-03-23,15.6 inches,4 GB,256 GB,Windows 11 Pro
11,4.3,49.0,150.3,B0G2WT12HL,"HP Stream 14"" HD Laptop, Intel Processor N150, 4GB RAM, 128GB UFS, Intel Graphics, Webcam, Wi-Fi 6, Copilot, Fast Charge, Windows 11, Silver (Renewed)",https://www.amazon.com/HP-Stream-Processor-Graphics-Copilot/dp/B0G2WT12HL/,https://m.media-amazon.com/images/I/71V9Q6KfAIL._AC_UY218_.jpg,FREE delivery,2026-03-23,14 inches,4 GB,128 GB,Windows 11 S
12,4.4,30.0,208.0,B0G3RXHXGQ,"HP 14"" Moonlight Blue Laptop with Office 365, AMD CPU, 4GB DDR5 RAM, 1.1TB Storage (128GB SSD and 1TB OneDrive), HD Display, Windows 11, Energy-Efficient & Quiet Performance",https://www.amazon.com/HP-Moonlight-OneDrive-Energy-Efficient-Performance/dp/B0G3RXHXGQ/,https://m.media-amazon.com/images/I/71Bytz-qEWL._AC_UY218_.jpg,FREE delivery,2026-03-23,14 inches,4 GB,1.1 TB,Windows 11 Home
13,4.3,38.0,209.98,B0C7P3HC32,"HP 14″Rose Gold Lightweight Laptop, with Office 365 & Copilot AI, Intel Processor, 4GB RAM Memory, 64GB SSD + 1TB Cloud Storage",https://www.amazon.com/HP-Dual-Core-Microsoft-OneDrive-Lightweight/dp/B0C7P3HC32/,https://m.media-amazon.com/images/I/71iy-loSrdL._AC_UY218_.jpg,FREE delivery,2026-03-23,14 inches,4 GB,1.1 TB,Windows 11 Home
14,4.3,2800.0,176.25,B09SVSBVP1,"HP Chromebook 14 Laptop, Intel Celeron N4120, 4 GB RAM, 64 GB eMMC, 14"" HD Display, Chrome OS, Thin Design, 4K Graphics, Long Battery Life, Ash Gray Keyboard (14a-na0226nr, 2022, Mineral Silver)",https://www.amazon.com/HP-Chromebook-Graphics-Keyboard-14a-na0226nr/dp/B09SVSBVP1/,https://m.media-amazon.com/images/I/71tXLOE7wIL._AC_UY218_.jpg,FREE delivery,2026-03-23,14 inches,4 GB,64 GB,Chrome OS
15,5.0,4.0,599.99,B0GKP72XSQ,"Gaming Laptop, 1TB NVMe SSD 16GB RAM Laptop Computer with AMD Ryzen 7 5825U(8C/16T, Up to 4.5GHz), 15.6inch Windows 11 Laptop, Radeon RX Vega 8 Graphics,WiFi 6 for Creative & Business",https://www.amazon.com/KAIGERR-Computer-15-6inch-Graphics-Creative/dp/B0GKP72XSQ/,https://m.media-amazon.com/images/I/717oTCs79ML._AC_UY218_.jpg,FREE delivery,2026-03-23,15.6 inches,Info not available,1 TB,Windows 11
16,4.5,53.0,164.99,B0D7SK7H8N,"Lenovo IdeaPad 3 15.6"" FHD Chromebook Laptop, Intel Celeron N4500, Intel UHD Graphics, 4GB RAM, 64GB SSD, USB-A&C, HDMI, WiFi, Chrome OS",https://www.amazon.com/Lenovo-IdeaPad-Chromebook-Celeron-Graphics/dp/B0D7SK7H8N/,https://m.media-amazon.com/images/I/613oHtHur-L._AC_UY218_.jpg,FREE delivery,2026-03-23,15.6,8 GB,64 GB,Chrome OS
18,4.1,836.0,147.0,B0DNLDKY3S,"Dell Latitude 3190 11.6"" HD 2-in-1 Touchscreen Laptop Intel N5030 1.1Ghz 4GB Ram 128GB SSD Windows 11 Professional (Renewed)",https://www.amazon.com/Dell-Latitude-3190-Touchscreen-Professional/dp/B0DNLDKY3S/,https://m.media-amazon.com/images/I/51bDy5c3eJL._AC_UY218_.jpg,$15 delivery ,2026-03-23,11.6 inches,Info not available,128 GB,Windows 11 Pro
19,4.3,2900.0,185.99,B09VRX9YVW,"HP 14"" HD Laptop, Windows 11, Intel Celeron Dual-Core Processor Up to 2.60GHz, 4GB RAM, 64GB SSD, Webcam, Dale Pink (Renewed)",https://www.amazon.com/HP-14-Laptop-Dual-Core-Processor/dp/B09VRX9YVW/,https://m.media-amazon.com/images/I/61MGsq1ZVaL._AC_UY218_.jpg,FREE delivery,2026-03-23,14 inches,4 GB,64 GB,Windows 11
21,4.2,961.0,150.0,B0C7MR5RDH,"HP 2023 Chromebook Laptop, 14 Inch Display, Intel Celeron N4120 Processor, 4GB RAM, 64GB eMMC, Intel UHD Graphics 600, WiFi, Bluetooth, Chrome OS, Modern Gray",https://www.amazon.com/HP-Chromebook-Processor-Graphics-Bluetooth/dp/B0C7MR5RDH/,https://m.media-amazon.com/images/I/51PsNbMd-CL._AC_UY218_.jpg,FREE delivery,2026-03-23,14 inches,4 GB,64 GB,Chrome OS
