,rating,reviews,extracted_price,asin,title,link_clean,thumbnail,delivery,scrape_date,display_size,ram,disk_size,operating_system
38,4.6,50.0,329.99,B0DWMLHYJ5,"HP 15.6 inch Laptop, HD Touchscreen Display, AMD Ryzen 3 7320U, 8 GB RAM, 256 GB SSD, AMD Radeon Graphics, Windows 11 Home, Natural Silver, 15-fc0399nr",https://www.amazon.com/HP-Touchscreen-Display-Graphics-15-fc0399nr/dp/B0DWMLHYJ5/,https://m.media-amazon.com/images/I/71qSxWYOQwL._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,Info not available,256 GB,Windows 11 Home
39,4.8,10.0,299.99,B0FBQC7WRP,"Gaming Laptop 15.6"" FHD,Intel N95 Turbo Boost 3.4GHz,16GB DDR4 + 512GB SSD,RGB Backlit Keyboard & Fingerprint Unlock,Windows 11 Pro Laptop Computer for Immersive Performance",https://www.amazon.com/NEOBIHIER-Keyboard-Fingerprint-Immersive-Performance/dp/B0FBQC7WRP/,https://m.media-amazon.com/images/I/61tYDaWoLsL._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,Info not available,512 GB,Windows 11 Pro
40,4.5,34.0,1412.89,B0DM1QPVV7,Lenovo LOQ 15.6 Gaming Laptop RTX 4070 - AMD Ryzen 7 7435HS Beat i7-12650H - 32GB DDR5 RAM -2TB PCIe SSD -Backlit Keyboard - FHD Display G-SYNC - Windows 11 - Computadora Gamer PC - 2024 - HDMI Cable,https://www.amazon.com/Lenovo-LOQ-15-6-Gaming-Laptop/dp/B0DM1QPVV7/,https://m.media-amazon.com/images/I/810do+RRLoL._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,Info not available,2 TB,Windows 11 Home
41,4.3,4.0,849.0,B0933FZPS3,"Dell Inspiron 3535 Laptop, AMD Ryzen 7 7730U Processor, 15.6"" Touchscreen Display, 64GB RAM, 1TB SSD, Long Battery Life, Webcam, Wi-Fi, Bluetooth, Windows 11 Pro, Alpacatec Accessories",https://www.amazon.com/Dell-Processor-Bluetooth-Alpacatec-Accessories/dp/B0933FZPS3/,https://m.media-amazon.com/images/I/81bKT03QsAL._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,Info not available,1 TB,Windows 11 Pro
42,5.0,1.0,599.99,B0F9KH6QKR,"ASUS 17.3"" Vivobook, FHD IPS Display, 16GB RAM, 1.5TB Storage (1TB SSD and 512GB External), Intel 6-Core Processor, USB-C, HDMI, Wi-Fi 6E, Windows 11 Pro, No Mouse",https://www.amazon.com/dp/B0F9KH6QKR/,https://m.media-amazon.com/images/I/71nbiX7vLDL._AC_UY218_.jpg,FREE delivery,2025-08-01,17.3 inches,Info not available,1.5 TB,Windows 11 Pro
43,4.8,8.0,329.99,B0FFNJJN2V,"HP 14"" LED Business Laptop Computer, 16GB RAM 640GB Storage (128GB UFS + 512GB SD Card), Intel Quad-Core N150 Processor, Windows 11 S & 1-Year Microsoft Office 365 Included, PLUSERA Earphones, Silver",https://www.amazon.com/dp/B0FFNJJN2V/,https://m.media-amazon.com/images/I/61lRIeyVxBL._AC_UY218_.jpg,FREE delivery,2025-08-01,14,16 GB,640 GB,Windows 11 Home in S
44,4.3,917.0,189.88,B0BSJ46KY9,"Lenovo IdeaPad 3i Chromebook, 15.6” FHD Display, Intel Celeron N4500, 8GB RAM, 64GB eMMC, 1920x1080 px, 720p Camera, Chrome OS, Abyss Blue",https://www.amazon.com/Lenovo-3i-Chromebook-Everyday-Notebook/dp/B0BSJ46KY9/,https://m.media-amazon.com/images/I/71bwzCMcQvL._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,8 GB,64 GB,Chrome OS
47,4.2,471.0,579.0,B0F92VHJ22,"DELL Inspiron 15 3530 Business Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1334U, 16GB RAM, 512GB SSD, Lifetime Microsoft Office 2024, Webcam, HDMI, Wi-Fi 6, Windows 11 Pro, Black",https://www.amazon.com/Inspiron-15-3530-Touchscreen-Microsoft/dp/B0F92VHJ22/,https://m.media-amazon.com/images/I/51bgIbas7WL._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,16 GB,512 GB,Windows 11 Pro
48,4.3,89.0,249.0,B0CYBX6LYS,"HP 14"" Laptop Stream Ultral Light for Students and Business, Quad-core Intel Celeron Processor, 16GB RAM, 256GB Storage (128GB eMMC+128GB Ghost Manta SD Card), 1 Year Office 365, HDMI, Win 11",https://www.amazon.com/HP-Students-Business-Quad-core-Processor/dp/B0CYBX6LYS/,https://m.media-amazon.com/images/I/61F8tAynu6L._AC_UY218_.jpg,FREE delivery,2025-08-01,14 inches,16,128 GB,Windows 11
50,4.1,72.0,399.98,B0CQ4WRT2N,"HP 15 Laptop (15.6"" HD Touchscreen, Intel Core i3 (Beat i5-1235U), 16GB RAM, 512GB SSD) Home & Business, 11-Hr Battery Life, Numpad, Webcam, Wi-Fi, IST Hub, Win 11 Home S Mode w/AI Copilot, Silver",https://www.amazon.com/HP-14-Laptop-Touchscreen-i5-11300H/dp/B0CQ4WRT2N/,https://m.media-amazon.com/images/I/71cTKAYwu5L._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,16 GB,512 GB,Windows 11 Home
51,4.2,379.0,328.99,B0CLHCWNV8,"ASUS Vivobook Laptop, 14"" FHD Display, i3-1215U, 16GB RAM, 512GB SSD, Wi-Fi 6, HDMI, Webcam, Touchpad, Windows 11 Home, Blue",https://www.amazon.com/ASUS-Vivobook-Display-i3-1215U-Processor/dp/B0CLHCWNV8/,https://m.media-amazon.com/images/I/61jojpe4KVL._AC_UY218_.jpg,FREE delivery,2025-08-01,14 inches,16 GB,512 GB,Windows 11 Home
53,4.2,75.0,759.98,B0BHW3BL4Z,"Lenovo ThinkBook 15 Gen 4 Business Laptop (15.6"" FHD Anti-Glare, Intel 10-Core i7-1255U, 40GB RAM, 1TB SSD), 1080p Webcam, Narrow Bezel, Fingerprint, Thunderbolt 4, Ethernet, Win 11 Pro w/Copilot",https://www.amazon.com/ThinkBook-Gen-Touchscreen-Fingerprint-Thunderbolt/dp/B0BHW3BL4Z/,https://m.media-amazon.com/images/I/7140eU--ZYL._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,32 GB,1 TB,Windows 11 Pro
54,3.5,44.0,145.64,B0BQRT45CP,"HP Elitebook 840 G1 14"" Laptop, Intel Core i5, 8GB RAM, 128GB SSD, Win10 Home (Renewed)",https://www.amazon.com/HP-Elitebook-Laptop-Intel-Renewed/dp/B0BQRT45CP/,https://m.media-amazon.com/images/I/6193fLRqtBL._AC_UY218_.jpg,FREE delivery,2025-08-01,14.00 inches,0 GB,128 GB,Windows 10 Home
55,4.4,1980.0,884.66,B0CXV97Q74,"MSI Thin A15 15.6” 144Hz FHD Gaming Laptop: Ryzen 7-7735HS, NVIDIA Geforce RTX 4050, 16GB DDR5, 512GB NVMe SSD, Cooler Boost 5, Win 11: Black B7VE-214US",https://www.amazon.com/MSI-Thin-144Hz-Gaming-Laptop/dp/B0CXV97Q74/,https://m.media-amazon.com/images/I/71Fr-EEsp6L._AC_UY218_.jpg,FREE delivery,2025-08-01,15.6 inches,16 GB,512 GB,Windows 11 Home
56,3.8,11.0,169.0,B0DLSJBJXP,"Laptop with MS Office Pro Plus 2024, 14 inch HD Display Laptop Computer, Quad-Core N5095 Up to 2.9 GHz, 8GB RAM 128GB SSD Laptops, 2.4G/5G WiFi, BT 5.0, USB 3.0, Webcam, Long Battery Life",https://www.amazon.com/VIGSENUP-Display-Computer-Quad-Core-Laptops/dp/B0DLSJBJXP/,https://m.media-amazon.com/images/I/71Csv0qmI7L._AC_UY218_.jpg,FREE delivery,2025-08-01,14 inches,Info not available,128 GB,Windows 11
